Designator,Mid X,Mid Y,Rotation,Layer
B1,25.5,-13.5,0.0,top
C1,50.5,31.5,0.0,top
C10,55.0,18.0,0.0,top
C11,56.5,15.0,0.0,top
C12,10.5,14.0,270.0,top
C2,50.5,29.0,0.0,top
C3,55.0,26.0,90.0,top
C4,13.0,22.5,270.0,top
C5,16.5,22.3,270.0,top
C6,50.5,22.5,0.0,top
C7,29.5,21.5,270.0,top
C8,33.0,21.5,270.0,top
C9,10.5,19.0,90.0,top
D1,58.5,34.0,90.0,top
D2,21.1,31.2,180.0,top
D3,38.5,31.0,180.0,top
D4,42.5,18.0,180.0,top
H1,10.87,54.57,0.0,top
H2,59.13,53.3,0.0,top
H3,43.89,2.6,0.0,top
J1,34.23,42.0,180.0,top
J2,18.96,41.54,0.0,top
J3,50.77,39.8,0.0,top
J4,55.65,9.17,0.0,top
J5,65.48,27.9,0.0,bottom
J6,4.52,27.9,0.0,bottom
JP1,11.0,45.5,90.0,top
L1,46.5,25.5,270.0,top
R1,13.92,32.08,90.0,top
R10,18.5,18.9125,270.0,top
R11,46.5,18.0,180.0,top
R12,16.0,15.0,180.0,top
R13,46.0,15.5,180.0,top
R14,48.7,11.0,90.0,top
R15,48.7,7.0,270.0,top
R2,18.92,32.1675,270.0,top
R3,30.0,32.0,90.0,top
R4,35.5,32.0,270.0,top
R5,58.5,29.5,90.0,top
R6,10.5,26.5,90.0,top
R7,13.92,27.5,270.0,top
R8,26.0,26.5,90.0,top
R9,30.1,26.9,270.0,top
TP_3.3V_REG1,44.7,38.8,0.0,top
TP_ADC1,-2.1,21.4,0.0,top
TP_ADC2,-2.4,14.4,0.0,top
TP_GND1,-3.3,5.2,0.0,top
TP_VDD1,-12.3,5.2,0.0,top
TP_V_USB1,54.4,1.4,0.0,top
U1,-13.4,39.41,270.0,top
U2,17.7825,26.63,0.0,top
U3,34.3625,26.5,0.0,top
U4,50.7125,25.5875,0.0,top
U5,51.075,15.35,90.0,top
